Date,AAPL,AMZN,BAC,CAT,CVX,GOOGL,HD,HON,IBM,JNJ,JPM,KO,MSFT,NEE,ORCL,PFE,PG,UNH,WMT,XOM
2012-05-18,15.891777038574219,10.692500114440918,5.4629364013671875,62.446556091308594,55.911075592041016,14.901862144470215,34.089717864990234,37.22625732421875,111.97065734863281,42.624000549316406,22.97909164428711,24.032760620117188,23.172786712646484,11.070720672607422,20.95881462097168,12.155774116516113,42.884857177734375,42.98236846923828,15.860881805419922,47.191837310791016
2012-05-21,16.81764030456543,10.905500411987305,5.315077781677246,64.7703628540039,56.609535217285156,15.242141723632812,34.495479583740234,38.43949508666992,113.04523468017578,42.70472717285156,22.306665420532227,24.182050704956055,23.552804946899414,11.104783058166504,21.490764617919922,12.13961124420166,42.797080993652344,44.22428512573242,16.015857696533203,47.522003173828125
2012-05-22,16.688493728637695,10.766500473022461,5.431807994842529,64.42528533935547,56.39942169189453,14.911788940429688,34.966426849365234,38.60800552368164,112.50790405273438,42.73837661743164,23.33588409423828,24.07819366455078,23.560714721679688,11.174614906311035,21.57260513305664,12.048056602478027,42.63504409790039,44.35962677001953,16.191158294677734,47.4698486328125
2012-05-23,17.095691680908203,10.86400032043457,5.579664707183838,65.11539459228516,56.21770095825195,15.126729011535645,35.314208984375,38.837162017822266,112.10774993896484,42.57017135620117,23.507413864135742,24.19504165649414,23.04611587524414,11.06049919128418,21.834484100341797,11.897250175476074,42.121944427490234,44.07304382324219,16.407115936279297,47.522003173828125
2012-05-24,16.93868637084961,10.76200008392334,5.556319236755371,64.37600708007812,56.81963348388672,14.982775688171387,36.01701354980469,38.60124206542969,112.09062194824219,42.869102478027344,23.308446884155273,24.5228271484375,23.014453887939453,11.075831413269043,21.376188278198242,11.924178123474121,42.243473052978516,44.757686614990234,16.531599044799805,47.8521614074707
2012-05-25,16.847898483276367,10.644499778747559,5.564100742340088,63.33382034301758,56.13822555541992,14.681709289550781,35.821380615234375,38.25076675415039,111.0673828125,42.46826171875,22.985942840576172,24.415727615356445,23.006540298461914,11.12692642211914,21.392559051513672,11.918794631958008,42.1894645690918,44.67808532714844,16.592573165893555,47.54515838623047
2012-05-29,17.146926879882812,10.737500190734863,5.789777755737305,65.1506118774414,56.92183303833008,14.751450538635254,36.28054428100586,38.554080963134766,112.30216979980469,42.5225944519043,23.07515525817871,24.490367889404297,23.402374267578125,11.17972469329834,21.654434204101562,11.94572639465332,42.500022888183594,44.701961517333984,16.686567306518555,47.458274841308594
2012-05-30,17.353675842285156,10.46150016784668,5.610552787780762,63.502830505371094,55.43974304199219,14.59980297088623,36.22952651977539,37.88005828857422,111.19884490966797,42.26444625854492,22.615432739257812,24.360557556152344,23.22821044921875,11.099675178527832,21.417104721069336,11.870320320129395,42.07468032836914,44.717899322509766,16.625600814819336,46.21867752075195
2012-05-31,17.31052589416504,10.645500183105469,5.7274394035339355,61.70012664794922,55.82588577270508,14.416879653930664,35.95985412597656,37.51608657836914,110.26708221435547,42.41391372680664,22.745803833007812,24.253456115722656,23.10944938659668,11.232037544250488,21.662620544433594,11.778765678405762,42.05443572998047,44.39944076538086,16.722139358520508,45.54673385620117
2012-06-01,16.808950424194336,10.41100025177002,5.47028923034668,60.22136306762695,54.7469596862793,14.171660423278809,34.9540901184082,36.35676574707031,108.08352661132812,41.97230911254883,21.908700942993164,23.721195220947266,22.523603439331055,11.103113174438477,21.27798843383789,11.654891967773438,41.5548210144043,43.818267822265625,16.65355110168457,45.13547134399414
2012-06-04,16.90782356262207,10.728500366210938,5.376779079437256,58.62992477416992,54.8435173034668,14.360538482666016,35.537139892578125,35.85797119140625,107.77481079101562,42.35276794433594,21.270580291748047,23.899686813354492,22.602767944335938,11.127181053161621,21.4416561126709,11.638731956481934,41.45356369018555,43.714778900146484,16.76533317565918,45.08332061767578
2012-06-05,16.86408233642578,10.660499572753906,5.532628059387207,58.904544830322266,54.79237365722656,14.157512664794922,35.65374755859375,35.91864776611328,108.15208435058594,42.26444625854492,21.94986915588379,23.76987648010254,22.57110023498535,11.199376106262207,21.859041213989258,11.633344650268555,41.298274993896484,44.6143913269043,16.640838623046875,44.950103759765625
2012-06-06,17.12265968322754,10.881999969482422,5.953418731689453,61.02412033081055,56.67198181152344,14.409683227539062,36.878170013427734,36.84205627441406,110.89020538330078,42.6652717590332,22.69091033935547,24.214506149291992,23.236122131347656,11.287049293518066,22.530109405517578,11.800312042236328,41.723594665527344,45.935943603515625,16.750089645385742,46.44455337524414
2012-06-07,17.130449295043945,10.9399995803833,5.781986236572266,61.36209487915039,57.00703430175781,14.351603507995605,37.34462356567383,37.32061004638672,111.14739990234375,42.6652717590332,22.512508392333984,24.10740089416504,23.14112091064453,11.388472557067871,22.243667602539062,11.8164644241333,42.37175369262695,45.73691177368164,16.734846115112305,46.74001693725586
2012-06-08,17.388132095336914,10.923999786376953,5.891078472137451,61.686038970947266,57.262542724609375,14.406704902648926,38.153602600097656,37.73851013183594,111.54754638671875,42.78756332397461,23.109460830688477,24.418973922729492,23.473628997802734,11.507080078125,22.227306365966797,11.924178123474121,42.364994049072266,46.17478561401367,17.331876754760742,46.826881408691406
2012-06-11,17.113967895507812,10.824999809265137,5.6728925704956055,59.98898696899414,56.73447036743164,14.110106468200684,37.42478561401367,37.15885543823242,110.04421997070312,42.20329666137695,22.51936912536621,24.23073959350586,22.879863739013672,11.462388038635254,21.940866470336914,11.902639389038086,42.22321319580078,45.744873046875,17.15658187866211,46.4967155456543
2012-06-12,17.263486862182617,10.821000099182129,5.83653450012207,61.29873275756836,57.205772399902344,14.02571964263916,38.07344436645508,37.77894973754883,111.21031951904297,42.85552215576172,23.171207427978516,24.405994415283203,23.188623428344727,11.500204086303711,22.120914459228516,11.951111793518066,42.37175369262695,46.04741668701172,17.204853057861328,47.0701904296875
2012-06-13,17.143630981445312,10.736499786376953,5.844325542449951,60.05938720703125,56.85939407348633,13.926191329956055,37.14783477783203,37.152103424072266,110.38150024414062,43.7862548828125,23.534870147705078,24.405996322631836,23.061946868896484,11.517396926879883,22.112733840942383,11.951111793518066,42.243473052978516,46.35345458984375,17.039718627929688,46.70524215698242
2012-06-14,17.124757766723633,10.72249984741211,5.969003677368164,60.481895446777344,57.875858306884766,13.875558853149414,38.01512145996094,37.21951675415039,111.52472686767578,44.465641021728516,23.77501678466797,24.749099731445312,23.22821044921875,11.605067253112793,22.0227108001709,12.150388717651367,42.655311584472656,47.34427261352539,17.181982040405273,47.574119567871094
2012-06-15,17.20266342163086,10.917499542236328,6.156022548675537,61.21424865722656,59.244384765625,14.011075019836426,37.80377197265625,37.77220916748047,113.81121826171875,44.84610366821289,24.03575325012207,24.863452911376953,23.766557693481445,11.649757385253906,22.669235229492188,12.177315711975098,42.452754974365234,47.064605712890625,17.212472915649414,48.205501556396484
2012-06-18,17.551733016967773,11.133000373840332,6.0469279289245605,61.08043670654297,58.75035858154297,14.168434143066406,38.13174057006836,37.66436767578125,113.3482437133789,45.04313278198242,23.754430770874023,24.8275203704834,23.624053955078125,11.723675727844238,22.194576263427734,12.182701110839844,42.05443572998047,47.480133056640625,17.306474685668945,48.141788482666016
2012-06-19,17.600568771362305,11.201499938964844,6.31966495513916,62.559234619140625,59.09107208251953,14.433509826660156,38.605472564697266,38.13618469238281,113.71407318115234,45.32846450805664,24.27590560913086,24.749099731445312,24.304903030395508,11.66179370880127,22.882007598876953,12.231172561645508,42.000423431396484,48.15131759643555,17.227718353271484,48.93539047241211
2012-06-20,17.550535202026367,11.151000022888184,6.343040466308594,61.38325119018555,58.846885681152344,14.333734512329102,38.50344467163086,38.109222412109375,113.62833404541016,45.51869201660156,25.010087966918945,24.690277099609375,24.48698616027832,11.551777839660645,23.315757751464844,12.20962905883789,40.771663665771484,47.62393569946289,17.40809440612793,49.219215393066406
2012-06-21,17.308734893798828,11.028499603271484,6.09368371963501,59.84111404418945,56.79692459106445,14.028448104858398,37.35920333862305,37.361053466796875,110.5472640991211,45.10426712036133,24.3651123046875,24.39945411682129,23.861560821533203,11.450352668762207,22.759258270263672,12.171929359436035,40.339576721191406,46.61712646484375,17.19977378845215,47.562538146972656
