protocol,problem,algorithm,mean,std
fast_t5_n10,df1,FITO,0.15821721632528313,0.026500352487554033
fast_t5_n10,df1,FITO-noPS,0.15821721632528313,0.026500352487554033
fast_t5_n10,df2,FITO,0.29689964656420076,0.04755956772913617
fast_t5_n10,df2,FITO-noPS,0.29689964656420076,0.04755956772913617
fast_t5_n10,df3,FITO,0.5849321890654567,0.05904710588296415
fast_t5_n10,df3,FITO-noPS,0.5849321890654567,0.05904710588296415
fast_t5_n10,df4,FITO,0.4007509467488631,0.09955789328158317
fast_t5_n10,df4,FITO-noPS,0.4007509467488631,0.09955789328158317
fast_t5_n10,df5,FITO,0.10712003936596504,0.01734913684383145
fast_t5_n10,df5,FITO-noPS,0.10712003936596504,0.01734913684383145
fast_t5_n10,df6,FITO,6.365831390614957,0.9970184709371489
fast_t5_n10,df6,FITO-noPS,6.365831390614957,0.9970184709371489
fast_t5_n10,df7,FITO,0.2741678039681291,0.0940262639506006
fast_t5_n10,df7,FITO-noPS,0.2741678039681291,0.0940262639506006
fast_t5_n10,df8,FITO,0.09320925683757128,0.004442531495363373
fast_t5_n10,df8,FITO-noPS,0.09320925683757128,0.004442531495363373
fast_t5_n10,df9,FITO,0.45114576969666753,0.06848847905010827
fast_t5_n10,df9,FITO-noPS,0.45114576969666753,0.06848847905010827
moderate_t10_n10,df1,FITO,0.10835691815756902,0.02540013463715363
moderate_t10_n10,df1,FITO-noPS,0.11526336525654182,0.022885176576849672
moderate_t10_n10,df2,FITO,0.21752433656216255,0.020523055434903948
moderate_t10_n10,df2,FITO-noPS,0.2261725480674032,0.023171724274474226
moderate_t10_n10,df3,FITO,0.33642810648073707,0.11582820250087605
moderate_t10_n10,df3,FITO-noPS,0.5101390439705557,0.09206130488228201
moderate_t10_n10,df4,FITO,0.4353231786588184,0.10059232510708517
moderate_t10_n10,df4,FITO-noPS,0.43586752663237005,0.1010509105014622
moderate_t10_n10,df5,FITO,0.08450463341828339,0.009446021994894754
moderate_t10_n10,df5,FITO-noPS,0.08503598617025684,0.012210687402389408
moderate_t10_n10,df6,FITO,7.335842207147141,1.8938664842630069
moderate_t10_n10,df6,FITO-noPS,7.551816387229079,1.9046414864788563
moderate_t10_n10,df7,FITO,0.18517194395113995,0.13444077268023208
moderate_t10_n10,df7,FITO-noPS,0.3200189843399192,0.12793025856639725
moderate_t10_n10,df8,FITO,0.07278670149295047,0.004523180987175681
moderate_t10_n10,df8,FITO-noPS,0.07391362434917655,0.004015809763637687
moderate_t10_n10,df9,FITO,0.2283316945802107,0.03005118360062392
moderate_t10_n10,df9,FITO-noPS,0.24129968956880768,0.049691795927969205
severe_t10_n20,df1,FITO,0.08590892242585435,0.018408112251058095
severe_t10_n20,df1,FITO-noPS,0.0872444207289044,0.019919016457830018
severe_t10_n20,df2,FITO,0.18784327499631073,0.02516248665083997
severe_t10_n20,df2,FITO-noPS,0.193362621220389,0.024474480085942607
severe_t10_n20,df3,FITO,0.2510385733769941,0.13590987966256984
severe_t10_n20,df3,FITO-noPS,0.4364616176315074,0.1545366514029743
severe_t10_n20,df4,FITO,0.3888591687671005,0.10366832412909019
severe_t10_n20,df4,FITO-noPS,0.38893721402936393,0.10312039169210264
severe_t10_n20,df5,FITO,0.06556126531512417,0.009128816516243482
severe_t10_n20,df5,FITO-noPS,0.06588434541617354,0.009339295750292152
severe_t10_n20,df6,FITO,6.916646543872297,3.366935900118809
severe_t10_n20,df6,FITO-noPS,7.640488031959286,4.036957848782514
severe_t10_n20,df7,FITO,0.18911184874045217,0.138135107954185
severe_t10_n20,df7,FITO-noPS,0.34522205028531777,0.14997708403468946
severe_t10_n20,df8,FITO,0.040790102494909775,0.0034628059851759866
severe_t10_n20,df8,FITO-noPS,0.04188711852855777,0.004107113730681081
severe_t10_n20,df9,FITO,0.15626900605260172,0.027965751407404087
severe_t10_n20,df9,FITO-noPS,0.1574996526746007,0.029243464719892007
