protocol,problem,metric,algorithm,average_rank
moderate_t10_n10,df3,migd,FITO+MB,3.1
moderate_t10_n10,df3,migd,FITO-noLS,6.2
moderate_t10_n10,df3,migd,FITO-noPA,4.55
moderate_t10_n10,df3,migd,FITO-noPS,5.3
moderate_t10_n10,df3,migd,FITO-noRD,4.5
moderate_t10_n10,df4,migd,FITO,2.85
moderate_t10_n10,df4,migd,FITO+BR,4.65
moderate_t10_n10,df4,migd,FITO+MB,3.45
moderate_t10_n10,df4,migd,FITO-noLS,7.0
moderate_t10_n10,df4,migd,FITO-noPA,3.2
moderate_t10_n10,df4,migd,FITO-noPS,3.2
moderate_t10_n10,df4,migd,FITO-noRD,3.65
moderate_t10_n10,df5,migd,FITO,2.05
moderate_t10_n10,df5,migd,FITO+BR,2.35
moderate_t10_n10,df5,migd,FITO+MB,3.6
moderate_t10_n10,df5,migd,FITO-noLS,7.0
moderate_t10_n10,df5,migd,FITO-noPA,5.2
moderate_t10_n10,df5,migd,FITO-noPS,2.0
moderate_t10_n10,df5,migd,FITO-noRD,5.8
moderate_t10_n10,df6,migd,FITO,2.8
moderate_t10_n10,df6,migd,FITO+BR,2.5
moderate_t10_n10,df6,migd,FITO+MB,3.05
moderate_t10_n10,df6,migd,FITO-noLS,6.5
moderate_t10_n10,df6,migd,FITO-noPA,4.55
moderate_t10_n10,df6,migd,FITO-noPS,3.1
moderate_t10_n10,df6,migd,FITO-noRD,5.5
moderate_t10_n10,df7,migd,FITO,2.5
moderate_t10_n10,df7,migd,FITO+BR,3.65
moderate_t10_n10,df7,migd,FITO+MB,2.8
moderate_t10_n10,df7,migd,FITO-noLS,5.7
moderate_t10_n10,df7,migd,FITO-noPA,3.3
moderate_t10_n10,df7,migd,FITO-noPS,6.6
moderate_t10_n10,df7,migd,FITO-noRD,3.45
moderate_t10_n10,df8,migd,FITO,3.3
moderate_t10_n10,df8,migd,FITO+BR,3.75
moderate_t10_n10,df8,migd,FITO+MB,2.95
moderate_t10_n10,df8,migd,FITO-noLS,7.0
moderate_t10_n10,df8,migd,FITO-noPA,3.0
moderate_t10_n10,df8,migd,FITO-noPS,3.7
moderate_t10_n10,df8,migd,FITO-noRD,4.3
moderate_t10_n10,df9,migd,FITO,1.95
moderate_t10_n10,df9,migd,FITO+BR,2.75
moderate_t10_n10,df9,migd,FITO+MB,3.35
moderate_t10_n10,df9,migd,FITO-noLS,7.0
moderate_t10_n10,df9,migd,FITO-noPA,5.1
moderate_t10_n10,df9,migd,FITO-noPS,2.3
moderate_t10_n10,df9,migd,FITO-noRD,5.55
severe_t10_n20,df1,migd,FITO,1.8
severe_t10_n20,df1,migd,FITO+BR,2.8
severe_t10_n20,df1,migd,FITO+MB,3.6
severe_t10_n20,df1,migd,FITO-noLS,6.8
severe_t10_n20,df1,migd,FITO-noPA,5.4
severe_t10_n20,df1,migd,FITO-noPS,2.45
severe_t10_n20,df1,migd,FITO-noRD,5.15
severe_t10_n20,df2,migd,FITO,2.85
severe_t10_n20,df2,migd,FITO+BR,3.55
severe_t10_n20,df2,migd,FITO+MB,3.6
severe_t10_n20,df2,migd,FITO-noLS,6.4
severe_t10_n20,df2,migd,FITO-noPA,4.15
severe_t10_n20,df2,migd,FITO-noPS,3.2
severe_t10_n20,df2,migd,FITO-noRD,4.25
severe_t10_n20,df3,migd,FITO,2.7
severe_t10_n20,df3,migd,FITO+BR,3.05
severe_t10_n20,df3,migd,FITO+MB,2.75
severe_t10_n20,df3,migd,FITO-noLS,6.35
severe_t10_n20,df3,migd,FITO-noPA,3.15
severe_t10_n20,df3,migd,FITO-noPS,6.25
severe_t10_n20,df3,migd,FITO-noRD,3.75
severe_t10_n20,df4,migd,FITO,3.5
severe_t10_n20,df4,migd,FITO+BR,4.6
severe_t10_n20,df4,migd,FITO+MB,4.0
severe_t10_n20,df4,migd,FITO-noLS,7.0
severe_t10_n20,df4,migd,FITO-noPA,3.7
severe_t10_n20,df4,migd,FITO-noPS,2.55
severe_t10_n20,df4,migd,FITO-noRD,2.65
severe_t10_n20,df5,migd,FITO,1.95
severe_t10_n20,df5,migd,FITO+BR,3.4
severe_t10_n20,df5,migd,FITO+MB,2.9
severe_t10_n20,df5,migd,FITO-noLS,7.0
severe_t10_n20,df5,migd,FITO-noPA,4.95
severe_t10_n20,df5,migd,FITO-noPS,2.3
severe_t10_n20,df5,migd,FITO-noRD,5.5
severe_t10_n20,df6,migd,FITO,3.15
severe_t10_n20,df6,migd,FITO+BR,2.9
severe_t10_n20,df6,migd,FITO+MB,3.15
severe_t10_n20,df6,migd,FITO-noLS,5.0
severe_t10_n20,df6,migd,FITO-noPA,5.15
severe_t10_n20,df6,migd,FITO-noPS,3.05
severe_t10_n20,df6,migd,FITO-noRD,5.6
severe_t10_n20,df7,migd,FITO,2.65
severe_t10_n20,df7,migd,FITO+BR,3.4
severe_t10_n20,df7,migd,FITO+MB,3.0
severe_t10_n20,df7,migd,FITO-noLS,5.85
severe_t10_n20,df7,migd,FITO-noPA,2.85
severe_t10_n20,df7,migd,FITO-noPS,6.65
severe_t10_n20,df7,migd,FITO-noRD,3.6
severe_t10_n20,df8,migd,FITO,3.5
severe_t10_n20,df8,migd,FITO+BR,3.95
severe_t10_n20,df8,migd,FITO+MB,2.65
severe_t10_n20,df8,migd,FITO-noLS,7.0
severe_t10_n20,df8,migd,FITO-noPA,3.25
severe_t10_n20,df8,migd,FITO-noPS,4.3
severe_t10_n20,df8,migd,FITO-noRD,3.35
severe_t10_n20,df9,migd,FITO,2.15
severe_t10_n20,df9,migd,FITO+BR,3.85
severe_t10_n20,df9,migd,FITO+MB,2.45
severe_t10_n20,df9,migd,FITO-noLS,7.0
severe_t10_n20,df9,migd,FITO-noPA,4.5
severe_t10_n20,df9,migd,FITO-noPS,2.95
severe_t10_n20,df9,migd,FITO-noRD,5.1
