protocol,problem,metric,algorithm,average_rank
fast_t5_n10,df1,migd,FITO,1.5
fast_t5_n10,df1,migd,FITO-noPS,1.5
fast_t5_n10,df2,migd,FITO,1.5
fast_t5_n10,df2,migd,FITO-noPS,1.5
fast_t5_n10,df3,migd,FITO,1.5
fast_t5_n10,df3,migd,FITO-noPS,1.5
fast_t5_n10,df4,migd,FITO,1.5
fast_t5_n10,df4,migd,FITO-noPS,1.5
fast_t5_n10,df5,migd,FITO,1.5
fast_t5_n10,df5,migd,FITO-noPS,1.5
fast_t5_n10,df6,migd,FITO,1.5
fast_t5_n10,df6,migd,FITO-noPS,1.5
fast_t5_n10,df7,migd,FITO,1.5
fast_t5_n10,df7,migd,FITO-noPS,1.5
fast_t5_n10,df8,migd,FITO,1.5
fast_t5_n10,df8,migd,FITO-noPS,1.5
fast_t5_n10,df9,migd,FITO,1.5
fast_t5_n10,df9,migd,FITO-noPS,1.5
moderate_t10_n10,df1,migd,FITO,1.45
moderate_t10_n10,df1,migd,FITO-noPS,1.55
moderate_t10_n10,df2,migd,FITO,1.3
moderate_t10_n10,df2,migd,FITO-noPS,1.7
moderate_t10_n10,df3,migd,FITO,1.05
moderate_t10_n10,df3,migd,FITO-noPS,1.95
moderate_t10_n10,df4,migd,FITO,1.45
moderate_t10_n10,df4,migd,FITO-noPS,1.55
moderate_t10_n10,df5,migd,FITO,1.35
moderate_t10_n10,df5,migd,FITO-noPS,1.65
moderate_t10_n10,df6,migd,FITO,1.45
moderate_t10_n10,df6,migd,FITO-noPS,1.55
moderate_t10_n10,df7,migd,FITO,1.1
moderate_t10_n10,df7,migd,FITO-noPS,1.9
moderate_t10_n10,df8,migd,FITO,1.35
moderate_t10_n10,df8,migd,FITO-noPS,1.65
moderate_t10_n10,df9,migd,FITO,1.25
moderate_t10_n10,df9,migd,FITO-noPS,1.75
severe_t10_n20,df1,migd,FITO,1.45
severe_t10_n20,df1,migd,FITO-noPS,1.55
severe_t10_n20,df2,migd,FITO,1.3
severe_t10_n20,df2,migd,FITO-noPS,1.7
severe_t10_n20,df3,migd,FITO,1.0
severe_t10_n20,df3,migd,FITO-noPS,2.0
severe_t10_n20,df4,migd,FITO,1.55
severe_t10_n20,df4,migd,FITO-noPS,1.45
severe_t10_n20,df5,migd,FITO,1.45
severe_t10_n20,df5,migd,FITO-noPS,1.55
severe_t10_n20,df6,migd,FITO,1.475
severe_t10_n20,df6,migd,FITO-noPS,1.525
severe_t10_n20,df7,migd,FITO,1.15
severe_t10_n20,df7,migd,FITO-noPS,1.85
severe_t10_n20,df8,migd,FITO,1.4
severe_t10_n20,df8,migd,FITO-noPS,1.6
severe_t10_n20,df9,migd,FITO,1.4
severe_t10_n20,df9,migd,FITO-noPS,1.6
