family,universe,decision_rule,cost_rate,algorithm,mhv,migd,final_wealth,annualized_return
budget,tech14,utopia,0.0005,DNSGA-II-A,0.40661908960251497,0.001081806003079565,31.049494411931153,0.4344724320643241
budget,tech14,utopia,0.0005,DNSGA-II-B,0.3820785512093751,0.001169483795235605,27.956587418238126,0.4126838522436393
budget,tech14,utopia,0.0005,FITO,0.4036080744811318,0.001116630370437765,38.974543577401406,0.4655155377422321
budget,tech14,utopia,0.0005,KGB-DMOEA,0.3448778538318479,0.001314516028680255,20.980980206619098,0.37673703198356134
budget,tech14,utopia,0.0005,MDDM-DMOEA,0.45417423658281475,0.00094611561904332,41.73510207720509,0.48012413703484685
budget,tech14,utopia,0.0005,NSGA-II,0.39941484743940947,0.001126984290314145,28.968418737110188,0.42384843292226726
budget,tech14,utopia,0.0005,PPS-DMOEA,0.42845123228935106,0.0010160851921312201,34.28929619012529,0.4490717182379399
budget,tech14,utopia,0.001,DNSGA-II-A,0.40661908960251497,0.001081806003079565,30.851400016591885,0.433506308220137
budget,tech14,utopia,0.001,DNSGA-II-B,0.3820785512093751,0.001169483795235605,27.781243096714668,0.41176680997621684
budget,tech14,utopia,0.001,FITO,0.4036080744811318,0.001116630370437765,38.72345925039638,0.46453309955698696
budget,tech14,utopia,0.001,KGB-DMOEA,0.3448778538318479,0.001314516028680255,20.85235972152534,0.37584485262449074
budget,tech14,utopia,0.001,MDDM-DMOEA,0.45417423658281475,0.00094611561904332,41.432280028343804,0.47898990645167405
budget,tech14,utopia,0.001,NSGA-II,0.39941484743940947,0.001126984290314145,28.948460562003607,0.4237458360923359
budget,tech14,utopia,0.001,PPS-DMOEA,0.42845123228935106,0.0010160851921312201,34.057523979208575,0.44804219764537684
budget,tech14,utopia,0.0025,DNSGA-II-A,0.40661908960251497,0.001081806003079565,30.264448069721606,0.4306106607712012
budget,tech14,utopia,0.0025,DNSGA-II-B,0.3820785512093751,0.001169483795235605,27.26159811352885,0.40901813825349487
budget,tech14,utopia,0.0025,FITO,0.4036080744811318,0.001116630370437765,37.97960550046631,0.4615884976098502
budget,tech14,utopia,0.0025,KGB-DMOEA,0.3448778538318479,0.001314516028680255,20.471085485466876,0.3731708217011301
budget,tech14,utopia,0.0025,MDDM-DMOEA,0.45417423658281475,0.00094611561904332,40.536520245312516,0.4755907716595563
budget,tech14,utopia,0.0025,NSGA-II,0.39941484743940947,0.001126984290314145,28.8886533875214,0.42343800466469333
budget,tech14,utopia,0.0025,PPS-DMOEA,0.42845123228935106,0.0010160851921312201,33.37128076330057,0.444956642188559
budget,tech14,max_sharpe,0.0005,DNSGA-II-A,0.40661908960251497,0.001081806003079565,29.806117644412275,0.42853255805091656
budget,tech14,max_sharpe,0.0005,DNSGA-II-B,0.3820785512093751,0.001169483795235605,23.33108472230927,0.388563398463211
budget,tech14,max_sharpe,0.0005,FITO,0.4036080744811318,0.001116630370437765,33.670190984392356,0.44395242078129227
budget,tech14,max_sharpe,0.0005,KGB-DMOEA,0.3448778538318479,0.001314516028680255,22.364339534037022,0.38502962128007306
budget,tech14,max_sharpe,0.0005,MDDM-DMOEA,0.45417423658281475,0.00094611561904332,35.31079073911972,0.4533901077529328
budget,tech14,max_sharpe,0.0005,NSGA-II,0.39941484743940947,0.001126984290314145,24.364612535427693,0.3987875280988525
budget,tech14,max_sharpe,0.0005,PPS-DMOEA,0.42845123228935106,0.0010160851921312201,29.670906177725435,0.4270197507798349
budget,tech14,max_sharpe,0.001,DNSGA-II-A,0.40661908960251497,0.001081806003079565,29.608714728183326,0.42753525316984275
budget,tech14,max_sharpe,0.001,DNSGA-II-B,0.3820785512093751,0.001169483795235605,23.179726806748015,0.3876246338785698
budget,tech14,max_sharpe,0.001,FITO,0.4036080744811318,0.001116630370437765,33.439254928348916,0.44291875469516917
budget,tech14,max_sharpe,0.001,KGB-DMOEA,0.3448778538318479,0.001314516028680255,22.217417093838776,0.38406756299683326
