family,protocol,problem,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,cliffs_delta,fito_ci95_low,fito_ci95_high,baseline_ci95_low,baseline_ci95_high,holm_p_value,holm_family_size,holm_scope
dynamic_main,fast_t5_n10,df1,DNSGA-II-A,0.11609302437548859,0.221175084367128,0.0,6.79561512817336e-08,True,-1.0,0.10693592235036281,0.12525012640061436,0.20941883428897634,0.23293133444527964,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df1,DNSGA-II-B,0.11609302437548859,0.5956811861573968,0.0,6.79561512817336e-08,True,-1.0,0.10693592235036281,0.12525012640061436,0.5603479793748297,0.631014392939964,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df1,KGB-DMOEA,0.11609302437548859,0.246312766864063,0.0,6.79561512817336e-08,True,-1.0,0.10693592235036281,0.12525012640061436,0.22799441867504275,0.26463111505308323,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df1,MDDM-DMOEA,0.11609302437548859,0.5152984303679495,0.0,6.79561512817336e-08,True,-1.0,0.10693592235036281,0.12525012640061436,0.48049057898485625,0.5501062817510428,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df1,NSGA-II,0.11609302437548859,0.11466349618776599,206.0,0.8817307917391243,False,0.03,0.10693592235036281,0.12525012640061436,0.10406410655460473,0.12526288582092723,0.8817307917391243,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df1,PPS-DMOEA,0.11609302437548859,0.5571169240347363,0.0,6.79561512817336e-08,True,-1.0,0.10693592235036281,0.12525012640061436,0.5324485913005188,0.5817852567689539,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df2,DNSGA-II-A,0.24941475042109565,0.14577654557956615,400.0,6.79561512817336e-08,False,1.0,0.24057785860840092,0.2582516422337904,0.1382923527768273,0.153260738382305,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df2,DNSGA-II-B,0.24941475042109565,0.44255053051300575,0.0,6.79561512817336e-08,True,-1.0,0.24057785860840092,0.2582516422337904,0.4129183295066227,0.4721827315193888,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df2,KGB-DMOEA,0.24941475042109565,0.1860467428000645,391.0,2.562945863395653e-07,False,0.955,0.24057785860840092,0.2582516422337904,0.17423147449596893,0.19786201110416007,1.2558434730638699e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df2,MDDM-DMOEA,0.24941475042109565,0.3863473774078076,0.0,6.79561512817336e-08,True,-1.0,0.24057785860840092,0.2582516422337904,0.3652923808143967,0.40740237400121854,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df2,NSGA-II,0.24941475042109565,0.10284448063500282,400.0,6.79561512817336e-08,False,1.0,0.24057785860840092,0.2582516422337904,0.09446576720731437,0.11122319406269127,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df2,PPS-DMOEA,0.24941475042109565,0.4691291357060375,0.0,6.79561512817336e-08,True,-1.0,0.24057785860840092,0.2582516422337904,0.4358848204623237,0.5023734509497513,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df3,DNSGA-II-A,0.538235306051266,0.7794411462867421,1.0,7.898033666674663e-08,True,-0.995,0.4873532993832929,0.5891173127192391,0.744621259903584,0.8142610326699002,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df3,DNSGA-II-B,0.538235306051266,0.7387285157622815,7.0,1.9177119523374596e-07,True,-0.965,0.4873532993832929,0.5891173127192391,0.7061104360395782,0.7713465954849847,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df3,KGB-DMOEA,0.538235306051266,0.7136676734076846,30.0,4.540079639937965e-06,True,-0.85,0.4873532993832929,0.5891173127192391,0.6739137662489756,0.7534215805663935,0.00010896191135851115,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df3,MDDM-DMOEA,0.538235306051266,0.6729577097111404,62.0,0.00019970667503660234,True,-0.69,0.4873532993832929,0.5891173127192391,0.620562938174726,0.7253524812475549,0.0029956001255490353,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df3,NSGA-II,0.538235306051266,0.6011256334411367,148.0,0.1635957256111319,True,-0.26,0.4873532993832929,0.5891173127192391,0.5377215328315837,0.6645297340506896,0.4907871768333957,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df3,PPS-DMOEA,0.538235306051266,0.7147178609846765,36.0,9.747975903084569e-06,True,-0.82,0.4873532993832929,0.5891173127192391,0.669965242229222,0.7594704797401309,0.00019495951806169137,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df4,DNSGA-II-A,0.3232257213900907,0.9312072304948329,0.0,6.79561512817336e-08,True,-1.0,0.3002728812620106,0.3461785615181708,0.869608995258003,0.9928054657316628,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df4,DNSGA-II-B,0.3232257213900907,0.8843474503015087,0.0,6.79561512817336e-08,True,-1.0,0.3002728812620106,0.3461785615181708,0.8198814477893169,0.9488134528137006,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df4,KGB-DMOEA,0.3232257213900907,1.0649980147318892,0.0,6.79561512817336e-08,True,-1.0,0.3002728812620106,0.3461785615181708,0.9515470329941549,1.1784489964696234,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df4,MDDM-DMOEA,0.3232257213900907,0.8093047364568013,0.0,6.79561512817336e-08,True,-1.0,0.3002728812620106,0.3461785615181708,0.7549633401827351,0.8636461327308675,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df4,NSGA-II,0.3232257213900907,0.9510420158853059,0.0,6.79561512817336e-08,True,-1.0,0.3002728812620106,0.3461785615181708,0.8803028132591648,1.021781218511447,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df4,PPS-DMOEA,0.3232257213900907,0.8631337913016285,0.0,6.79561512817336e-08,True,-1.0,0.3002728812620106,0.3461785615181708,0.7972973447742,0.928970237829057,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df5,DNSGA-II-A,0.06714135284516988,0.30626966574579056,0.0,6.79561512817336e-08,True,-1.0,0.06358751133473459,0.07069519435560517,0.28956941140283554,0.3229699200887456,1.1008896507640843e-05,162,dynamic_main_162_comparisons
dynamic_main,fast_t5_n10,df5,DNSGA-II-B,0.06714135284516988,0.28184455706229533,0.0,6.79561512817336e-08,True,-1.0,0.06358751133473459,0.07069519435560517,0.2645651250744335,0.29912398905015714,1.1008896507640843e-05,162,dynamic_main_162_comparisons
