family,universe,algorithm,final_wealth_mean,final_wealth_std,annualized_return_mean,annualized_return_std,annualized_volatility_mean,annualized_volatility_std,annualized_sharpe_mean,annualized_sharpe_std,mean_turnover_mean,mean_turnover_std,max_drawdown_mean,max_drawdown_std
budget,market20,DNSGA-II-A,6.469511525394647,0.36742890982054494,0.2170109844408167,0.00708939289883998,0.16390873639659137,0.0026671510559818316,1.280744540372433,0.0347912060490479,0.28553356584719825,0.01744486816547286,0.06942537290442888,0.011600485431140577
budget,market20,DNSGA-II-B,5.57460348556481,0.31865161633116984,0.1980764535548105,0.007277805931238012,0.1606551777273247,0.0026482084696407716,1.2057747508896957,0.03817903788930574,0.22256267801932764,0.017321816604409675,0.08487281274808446,0.013440639504640427
budget,market20,FITO,5.716235328471035,0.42082006847071535,0.2011270603917577,0.009410483630387854,0.16407008192450798,0.0023586132724321674,1.1993091813734065,0.04456063232955089,0.24641435085980506,0.01681124644461477,0.08114765136456034,0.008245805052153221
budget,market20,KGB-DMOEA,5.743761349163061,0.38944771607827944,0.2017766304194461,0.008739729770965302,0.15790326322543896,0.0015661207931953096,1.2433152801163128,0.043842571828959113,0.31714533091684716,0.01635629523022128,0.06798683820275546,0.011678488450444818
budget,market20,MDDM-DMOEA,5.923670024458484,0.37741464047352474,0.2057219972633067,0.008036574299501473,0.16847894960817822,0.0022540842654426977,1.1952231215098208,0.04257025252823648,0.3037634772496646,0.016861281720096353,0.08477799392637822,0.013857365829560767
budget,market20,NSGA-II,6.536812066464232,0.5290187499092721,0.21814633525249222,0.010456588863395658,0.161796272255289,0.0032397423657263415,1.3010785936416405,0.05171417224053834,0.05690719869258731,0.010708714801815034,0.033746554515413564,0.016143954986183314
budget,market20,PPS-DMOEA,5.811007616631555,0.2505331893143244,0.2034024676385045,0.005516556065836898,0.16345772584629736,0.0024950392374724763,1.215141454304688,0.03182423780943911,0.2509210450763538,0.018496555442109774,0.08536048578336279,0.014183907718000606
budget,tech14,DNSGA-II-A,30.851400016591885,4.326988901076614,0.433506308220137,0.0205646806598492,0.25748565204172097,0.007032982269851363,1.5284379748875845,0.047869110899673196,0.3367721807933437,0.017670143494920913,0.18245115301517267,0.040184261930897185
budget,tech14,DNSGA-II-B,27.781243096714668,9.065196408943109,0.41176680997621684,0.051289604241342594,0.26495157102891553,0.012817589604598213,1.4292698723984407,0.08809447999473453,0.323743881331603,0.02662733055304008,0.22092357477930818,0.032437208224718864
budget,tech14,FITO,38.72345925039638,9.212434732519537,0.46453309955698696,0.04503799118516893,0.2750123386108745,0.01435311433886991,1.5222946931337957,0.06363313253550655,0.3344260686838193,0.03248902665894472,0.19590961568937765,0.03132242722315948
budget,tech14,KGB-DMOEA,20.85235972152534,2.580159957425873,0.37584485262449074,0.017591357313799422,0.2333327613047797,0.0035238079513919603,1.4849624324439916,0.051976765049211275,0.3240930572673699,0.017323386798953403,0.12054950832024287,0.01846182435194664
budget,tech14,MDDM-DMOEA,41.432280028343804,4.961706586473113,0.47898990645167405,0.018782167293084677,0.29182492073824395,0.004124808292940144,1.4875843740606594,0.033393272713719634,0.3831610972227465,0.01595150290092434,0.24218653637828727,0.03330993124542609
budget,tech14,NSGA-II,28.948460562003607,4.352452846776169,0.4237458360923359,0.021977421668257547,0.2798614500971652,0.010966558399522661,1.4034542125954927,0.025480109814186615,0.03599308270584174,0.005286546932129604,0.2533629447452671,0.0168249824201002
budget,tech14,PPS-DMOEA,34.057523979208575,5.446561848696911,0.44804219764537684,0.0246731255325383,0.28120862993107926,0.007714052360099723,1.457142642610465,0.036412593984302695,0.3550395824071303,0.01987363658103366,0.24496382915810008,0.03144704278838246
main,market20,DNSGA-II-A,6.058121325722879,0.44665328906369756,0.20849678441809266,0.009398791452690361,0.16293129129489686,0.0021747690029771554,1.2441435268189365,0.045142532463192275,0.2897092842719194,0.010415095270582387,0.07579377413864104,0.016745034122914147
main,market20,DNSGA-II-B,5.520198133193444,0.3657333282099393,0.19678343232409803,0.008323128191478863,0.16224732016163315,0.0025329813840243216,1.1887904017266584,0.042628811490367326,0.2341957520237305,0.016254883130610624,0.08394772537607603,0.012254567461478082
main,market20,FITO,5.743760877584797,0.48837002588839906,0.2016448544205402,0.010693759184233015,0.16352749892359775,0.002185015309031772,1.2051395049188243,0.047717504887826494,0.25369640416640615,0.01782256123131008,0.07783112262527667,0.0111422885421588
main,market20,KGB-DMOEA,5.810249696189126,0.4048044459435528,0.203221147964837,0.008948544194999441,0.15797658107251847,0.0019703635498954817,1.2508067573738944,0.05287870867675825,0.30907730636362246,0.014851953027391783,0.0637729849283237,0.0145563056283216
main,market20,MDDM-DMOEA,5.886937260222366,0.4542684612736376,0.20482474450072313,0.009874612103355523,0.16636980824953493,0.0028669180573154852,1.2035239377315146,0.04578327910036577,0.27976730319743337,0.027901444475167573,0.08810193661749086,0.01395965217081056
main,market20,NSGA-II,6.404213098257887,0.48931746511984653,0.2155649687212388,0.009749739009546062,0.16186934856213922,0.002687241601988774,1.2872749816582325,0.04507088028219186,0.05368604160587378,0.0095590405255338,0.0338200188346547,0.013515402075035009
main,market20,PPS-DMOEA,5.570288820108723,0.4033358155756851,0.19787376285354896,0.009173606363576664,0.16091929663298105,0.001961296055529955,1.2026429204345992,0.04248424118810957,0.22766058971650205,0.013298232086680649,0.07923093263557039,0.011114435531115676
main,tech14,DNSGA-II-A,34.60890054634077,6.621302064773909,0.4499423227177256,0.028049156674585848,0.26198103101767506,0.007723098805267486,1.5497823034040983,0.06205320725033092,0.34282478193669136,0.01716804994838204,0.19033112407749753,0.04191284504339835
main,tech14,DNSGA-II-B,31.1395758935926,7.573363720491341,0.4316463490910071,0.04147529652004166,0.2687380670228391,0.013451131813174175,1.46734666222897,0.061896754735570485,0.3218241680657692,0.027589876773973742,0.20766433445484106,0.03596124046402443
