family,universe,algorithm,mean,std
budget,tech14,DNSGA-II-A,0.40661908960251497,0.01659892650745603
budget,tech14,DNSGA-II-B,0.3820785512093751,0.036322634854597254
budget,tech14,FITO,0.4036080744811318,0.03587659866080858
budget,tech14,KGB-DMOEA,0.3448778538318479,0.012280178382482644
budget,tech14,MDDM-DMOEA,0.45417423658281475,0.016497520525224536
budget,tech14,NSGA-II,0.39941484743940947,0.025526586651216904
budget,tech14,PPS-DMOEA,0.42845123228935106,0.023795700468086163
budget,market20,DNSGA-II-A,0.27656971047910284,0.017507730650470302
budget,market20,DNSGA-II-B,0.2446984956041946,0.01109524407060901
budget,market20,FITO,0.2396837876610487,0.01484460842065948
budget,market20,KGB-DMOEA,0.25831813758045785,0.012298769696076848
budget,market20,MDDM-DMOEA,0.3011742970980673,0.008855776448701174
budget,market20,NSGA-II,0.2691295759026532,0.012237182206643044
budget,market20,PPS-DMOEA,0.27231638365893984,0.013531982539135184
main,tech14,DNSGA-II-A,0.4148592905533583,0.016930498654165838
main,tech14,DNSGA-II-B,0.39473660425708673,0.030397805979910934
main,tech14,FITO,0.4147518010238154,0.038789735116099094
main,tech14,KGB-DMOEA,0.3482479436724446,0.011227202172631612
main,tech14,MDDM-DMOEA,0.4247402311878451,0.03203164870918673
main,tech14,NSGA-II,0.37599917643849723,0.023590411676544663
main,tech14,PPS-DMOEA,0.39157424100204763,0.03172507445633539
main,market20,DNSGA-II-A,0.2790055571013601,0.012924008191229606
main,market20,DNSGA-II-B,0.25057718010380187,0.014770813030427514
main,market20,FITO,0.23932565410427506,0.017735301258778265
main,market20,KGB-DMOEA,0.2560466511945726,0.014834855731498618
main,market20,MDDM-DMOEA,0.2857527571274425,0.015364863062730468
main,market20,NSGA-II,0.2551868339077589,0.010915043086271068
main,market20,PPS-DMOEA,0.24791437380082787,0.015209771864446942
