protocol,problem,metric,algorithm,average_rank
fast_t5_n10,df1,migd,DNSGA-II-A,3.25
fast_t5_n10,df1,migd,DNSGA-II-B,6.45
fast_t5_n10,df1,migd,FITO,1.55
fast_t5_n10,df1,migd,KGB-DMOEA,3.75
fast_t5_n10,df1,migd,MDDM-DMOEA,5.6
fast_t5_n10,df1,migd,NSGA-II,1.45
fast_t5_n10,df1,migd,PPS-DMOEA,5.95
fast_t5_n10,df2,migd,DNSGA-II-A,2.0
fast_t5_n10,df2,migd,DNSGA-II-B,6.1
fast_t5_n10,df2,migd,FITO,3.95
fast_t5_n10,df2,migd,KGB-DMOEA,3.0
fast_t5_n10,df2,migd,MDDM-DMOEA,5.45
fast_t5_n10,df2,migd,NSGA-II,1.05
fast_t5_n10,df2,migd,PPS-DMOEA,6.45
fast_t5_n10,df3,migd,DNSGA-II-A,5.9
fast_t5_n10,df3,migd,DNSGA-II-B,4.85
fast_t5_n10,df3,migd,FITO,1.9
fast_t5_n10,df3,migd,KGB-DMOEA,4.65
fast_t5_n10,df3,migd,MDDM-DMOEA,3.6
fast_t5_n10,df3,migd,NSGA-II,2.55
fast_t5_n10,df3,migd,PPS-DMOEA,4.55
fast_t5_n10,df4,migd,DNSGA-II-A,5.0
fast_t5_n10,df4,migd,DNSGA-II-B,3.75
fast_t5_n10,df4,migd,FITO,1.0
fast_t5_n10,df4,migd,KGB-DMOEA,5.85
fast_t5_n10,df4,migd,MDDM-DMOEA,2.8
fast_t5_n10,df4,migd,NSGA-II,5.7
fast_t5_n10,df4,migd,PPS-DMOEA,3.9
fast_t5_n10,df5,migd,DNSGA-II-A,5.7
fast_t5_n10,df5,migd,DNSGA-II-B,4.65
fast_t5_n10,df5,migd,FITO,1.0
fast_t5_n10,df5,migd,KGB-DMOEA,6.05
fast_t5_n10,df5,migd,MDDM-DMOEA,3.0
fast_t5_n10,df5,migd,NSGA-II,2.65
fast_t5_n10,df5,migd,PPS-DMOEA,4.95
fast_t5_n10,df6,migd,DNSGA-II-A,3.3
fast_t5_n10,df6,migd,DNSGA-II-B,6.5
fast_t5_n10,df6,migd,FITO,1.0
fast_t5_n10,df6,migd,KGB-DMOEA,3.75
fast_t5_n10,df6,migd,MDDM-DMOEA,3.25
fast_t5_n10,df6,migd,NSGA-II,4.2
fast_t5_n10,df6,migd,PPS-DMOEA,6.0
fast_t5_n10,df7,migd,DNSGA-II-A,5.45
fast_t5_n10,df7,migd,DNSGA-II-B,4.7
fast_t5_n10,df7,migd,FITO,3.15
fast_t5_n10,df7,migd,KGB-DMOEA,6.6
fast_t5_n10,df7,migd,MDDM-DMOEA,2.0
fast_t5_n10,df7,migd,NSGA-II,1.5
fast_t5_n10,df7,migd,PPS-DMOEA,4.6
fast_t5_n10,df8,migd,DNSGA-II-A,5.05
fast_t5_n10,df8,migd,DNSGA-II-B,3.75
fast_t5_n10,df8,migd,FITO,1.0
fast_t5_n10,df8,migd,KGB-DMOEA,7.0
fast_t5_n10,df8,migd,MDDM-DMOEA,2.55
fast_t5_n10,df8,migd,NSGA-II,5.2
fast_t5_n10,df8,migd,PPS-DMOEA,3.45
fast_t5_n10,df9,migd,DNSGA-II-A,3.8
fast_t5_n10,df9,migd,DNSGA-II-B,5.4
fast_t5_n10,df9,migd,FITO,1.1
fast_t5_n10,df9,migd,KGB-DMOEA,6.8
fast_t5_n10,df9,migd,MDDM-DMOEA,3.85
fast_t5_n10,df9,migd,NSGA-II,2.0
fast_t5_n10,df9,migd,PPS-DMOEA,5.05
moderate_t10_n10,df1,migd,DNSGA-II-A,3.75
moderate_t10_n10,df1,migd,DNSGA-II-B,6.3
moderate_t10_n10,df1,migd,FITO,1.05
moderate_t10_n10,df1,migd,KGB-DMOEA,3.25
moderate_t10_n10,df1,migd,MDDM-DMOEA,5.45
moderate_t10_n10,df1,migd,NSGA-II,1.95
moderate_t10_n10,df1,migd,PPS-DMOEA,6.25
moderate_t10_n10,df2,migd,DNSGA-II-A,2.25
moderate_t10_n10,df2,migd,DNSGA-II-B,6.15
moderate_t10_n10,df2,migd,FITO,3.9
moderate_t10_n10,df2,migd,KGB-DMOEA,2.45
moderate_t10_n10,df2,migd,MDDM-DMOEA,5.65
moderate_t10_n10,df2,migd,NSGA-II,1.4
moderate_t10_n10,df2,migd,PPS-DMOEA,6.2
moderate_t10_n10,df3,migd,DNSGA-II-A,5.2
moderate_t10_n10,df3,migd,DNSGA-II-B,5.05
moderate_t10_n10,df3,migd,FITO,1.1
moderate_t10_n10,df3,migd,KGB-DMOEA,4.0
moderate_t10_n10,df3,migd,MDDM-DMOEA,4.5
moderate_t10_n10,df3,migd,NSGA-II,3.05
moderate_t10_n10,df3,migd,PPS-DMOEA,5.1
moderate_t10_n10,df4,migd,DNSGA-II-A,5.3
moderate_t10_n10,df4,migd,DNSGA-II-B,4.95
moderate_t10_n10,df4,migd,FITO,1.0
moderate_t10_n10,df4,migd,KGB-DMOEA,4.45
moderate_t10_n10,df4,migd,MDDM-DMOEA,3.5
moderate_t10_n10,df4,migd,NSGA-II,4.5
moderate_t10_n10,df4,migd,PPS-DMOEA,4.3
moderate_t10_n10,df5,migd,DNSGA-II-A,6.6
moderate_t10_n10,df5,migd,DNSGA-II-B,4.5
moderate_t10_n10,df5,migd,FITO,1.0
moderate_t10_n10,df5,migd,KGB-DMOEA,5.2
moderate_t10_n10,df5,migd,MDDM-DMOEA,4.0
moderate_t10_n10,df5,migd,NSGA-II,2.1
moderate_t10_n10,df5,migd,PPS-DMOEA,4.6
moderate_t10_n10,df6,migd,DNSGA-II-A,4.15
moderate_t10_n10,df6,migd,DNSGA-II-B,6.6
moderate_t10_n10,df6,migd,FITO,1.45
moderate_t10_n10,df6,migd,KGB-DMOEA,3.95
moderate_t10_n10,df6,migd,MDDM-DMOEA,4.3
moderate_t10_n10,df6,migd,NSGA-II,1.9
moderate_t10_n10,df6,migd,PPS-DMOEA,5.65
moderate_t10_n10,df7,migd,DNSGA-II-A,5.2
moderate_t10_n10,df7,migd,DNSGA-II-B,4.55
moderate_t10_n10,df7,migd,FITO,1.3
