protocol,problem,seed,algorithm,migd,tail_igd,n_evals,environment_change_count,change_response_count,response_activation_rate,prediction_count,replaced_count,kde_success_count,kde_fallback_count,response_evaluation_count
fast_t5_n10,df2,0,NSGA-II,0.11675761193128344,0.06683455459809559,6000,12,0,0.0,0,0,0,0,0
fast_t5_n10,df2,0,MDDM-DMOEA,0.31431331027519155,0.22003256147207756,6000,12,12,1.0,12,600,12,0,1200
fast_t5_n10,df2,0,PPS-DMOEA,0.3928043074624311,0.2942670431866143,6000,12,12,1.0,12,600,0,0,1200
fast_t5_n10,df2,0,MDDM-DMOEA_vs_NSGAII_DIFF,0.19755569834390813,0.15319800687398197,0,12,12,1.0,12,600,12,0,1200
fast_t5_n10,df2,0,PPS-DMOEA_vs_NSGAII_DIFF,0.2760466955311477,0.2274324885885187,0,12,12,1.0,12,600,0,0,1200
fast_t5_n10,df2,1,NSGA-II,0.07923329709030653,0.051372229273015046,6000,12,0,0.0,0,0,0,0,0
fast_t5_n10,df2,1,MDDM-DMOEA,0.3575254281583932,0.29336219994712,6000,12,12,1.0,12,600,12,0,1200
fast_t5_n10,df2,1,PPS-DMOEA,0.5308953650451311,0.4851094422915315,6000,12,12,1.0,12,600,0,0,1200
fast_t5_n10,df2,1,MDDM-DMOEA_vs_NSGAII_DIFF,0.2782921310680867,0.24198997067410494,0,12,12,1.0,12,600,12,0,1200
fast_t5_n10,df2,1,PPS-DMOEA_vs_NSGAII_DIFF,0.4516620679548246,0.4337372130185165,0,12,12,1.0,12,600,0,0,1200
fast_t5_n10,df2,2,NSGA-II,0.12374816955468156,0.09476540517194332,6000,12,0,0.0,0,0,0,0,0
fast_t5_n10,df2,2,MDDM-DMOEA,0.4886337778609765,0.39284495298099403,6000,12,12,1.0,12,600,12,0,1200
fast_t5_n10,df2,2,PPS-DMOEA,0.41222118621446413,0.37960970514514936,6000,12,12,1.0,12,600,0,0,1200
fast_t5_n10,df2,2,MDDM-DMOEA_vs_NSGAII_DIFF,0.36488560830629496,0.2980795478090507,0,12,12,1.0,12,600,12,0,1200
fast_t5_n10,df2,2,PPS-DMOEA_vs_NSGAII_DIFF,0.2884730166597826,0.28484429997320604,0,12,12,1.0,12,600,0,0,1200
moderate_t10_n10,df1,0,NSGA-II,0.13275263695428052,0.029174724709151327,6000,6,0,0.0,0,0,0,0,0
moderate_t10_n10,df1,0,MDDM-DMOEA,0.30333192898464645,0.4124944860018765,6000,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df1,0,PPS-DMOEA,0.2960715282698627,0.36373027808088065,6000,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df1,0,MDDM-DMOEA_vs_NSGAII_DIFF,0.17057929203036593,0.38331976129272516,0,6,6,1.0,6,300,6,0,600
moderate_t10_n10,df1,0,PPS-DMOEA_vs_NSGAII_DIFF,0.1633188913155822,0.3345555533717293,0,6,6,1.0,6,300,0,0,600
moderate_t10_n10,df1,1,NSGA-II,0.10071312434663883,0.023079629980581835,6000,6,0,0.0,0,0,0,0,0
moderate_t10_n10,df1,1,MDDM-DMOEA,0.2529446857517071,0.36439850271666335,6000,6,6,1.0,6,300,6,0,600
