family,universe,algorithm,mean,std
budget,tech14,DNSGA-II-A,0.001081806003079565,6.0742306416165555e-05
budget,tech14,DNSGA-II-B,0.001169483795235605,0.0001201746784902889
budget,tech14,FITO,0.001116630370437765,0.00012479673697988455
budget,tech14,KGB-DMOEA,0.001314516028680255,4.279616895908364e-05
budget,tech14,MDDM-DMOEA,0.00094611561904332,5.479367550362808e-05
budget,tech14,NSGA-II,0.001126984290314145,9.3759522624968e-05
budget,tech14,PPS-DMOEA,0.0010160851921312201,7.151605764411753e-05
budget,market20,DNSGA-II-A,0.000993788137977235,3.8538956685144864e-05
budget,market20,DNSGA-II-B,0.001115008366064115,2.5705283457443385e-05
budget,market20,FITO,0.00112795456912231,3.370162306352761e-05
budget,market20,KGB-DMOEA,0.00102348072296762,2.7356884909116046e-05
budget,market20,MDDM-DMOEA,0.000984426565227,2.67659434744067e-05
budget,market20,NSGA-II,0.00097269072450075,3.320772791410198e-05
budget,market20,PPS-DMOEA,0.00104591412649888,3.3874905196654206e-05
main,tech14,DNSGA-II-A,0.001061713095791365,5.650350438884756e-05
main,tech14,DNSGA-II-B,0.00112521360413863,0.00011582701513676447
main,tech14,FITO,0.00108183969996376,0.0001385773344389994
main,tech14,KGB-DMOEA,0.00129700394072876,5.087685265736023e-05
main,tech14,MDDM-DMOEA,0.001040825093582765,0.00011327417216027792
main,tech14,NSGA-II,0.001218054476618225,9.605666078638765e-05
main,tech14,PPS-DMOEA,0.0011343405952469149,0.00010958858696222956
main,market20,DNSGA-II-A,0.0009922550603506252,2.788689603491747e-05
main,market20,DNSGA-II-B,0.00109963810458878,3.522328463414385e-05
main,market20,FITO,0.0011224399308348899,4.3317292766010794e-05
main,market20,KGB-DMOEA,0.00102873758213053,3.111844258847598e-05
main,market20,MDDM-DMOEA,0.001021560370153665,4.1296068085784216e-05
main,market20,NSGA-II,0.0010136699413142648,2.9009814205719535e-05
main,market20,PPS-DMOEA,0.00110383270860007,3.5500198327972184e-05
