family,metric,universe,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,cliffs_delta,holm_p_value,holm_scope
budget,mhv,tech14,DNSGA-II-A,0.4036080744811318,0.4066190896025151,222.0,0.5608516966002302,False,0.11,0.5608516966002302,budget_mhv_12_comparisons
budget,mhv,tech14,DNSGA-II-B,0.4036080744811318,0.38207855120937506,286.0,0.020734594207182492,True,0.43,0.08293837682872997,budget_mhv_12_comparisons
budget,mhv,tech14,KGB-DMOEA,0.4036080744811318,0.34487785383184794,363.0,1.1044712116768222e-05,True,0.815,7.731298481737756e-05,budget_mhv_12_comparisons
budget,mhv,tech14,MDDM-DMOEA,0.4036080744811318,0.45417423658281464,16.0,6.916583488077116e-07,False,-0.92,7.608241836884828e-06,budget_mhv_12_comparisons
budget,mhv,tech14,NSGA-II,0.4036080744811318,0.3994148474394095,254.0,0.14784658271436188,True,0.27,0.39984951224795967,budget_mhv_12_comparisons
budget,mhv,tech14,PPS-DMOEA,0.4036080744811318,0.42845123228935106,101.0,0.007711805017936966,False,-0.495,0.038559025089684826,budget_mhv_12_comparisons
budget,mhv,market20,DNSGA-II-A,0.2396837876610487,0.27656971047910284,17.0,7.9479479088229e-07,False,-0.915,7.9479479088229e-06,budget_mhv_12_comparisons
budget,mhv,market20,DNSGA-II-B,0.2396837876610487,0.2446984956041946,144.0,0.1332831707493199,False,-0.28,0.39984951224795967,budget_mhv_12_comparisons
budget,mhv,market20,KGB-DMOEA,0.2396837876610487,0.25831813758045785,63.0,0.00022220262013680653,False,-0.685,0.0013332157208208392,budget_mhv_12_comparisons
budget,mhv,market20,MDDM-DMOEA,0.2396837876610487,0.30117429709806726,0.0,6.79561512817336e-08,False,-1.0,8.154738153808032e-07,budget_mhv_12_comparisons
budget,mhv,market20,NSGA-II,0.2396837876610487,0.26912957590265324,27.0,3.0691009218571027e-06,False,-0.865,2.4552807374856822e-05,budget_mhv_12_comparisons
budget,mhv,market20,PPS-DMOEA,0.2396837876610487,0.27231638365893984,24.0,2.0615962041044736e-06,False,-0.88,1.8554365836940262e-05,budget_mhv_12_comparisons
