family,protocol,problem,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,cliffs_delta,fito_ci95_low,fito_ci95_high,baseline_ci95_low,baseline_ci95_high,holm_p_value,holm_family_size,holm_scope
dynamic_budget,fast_t5_n10,df1,DNSGA-II-A,0.15821721632528307,0.2078342169379622,32.0,5.873574095711031e-06,True,-0.84,0.14581466958590183,0.1706197630646643,0.19542276966446623,0.22024566421145816,0.0002995522788812626,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df1,DNSGA-II-B,0.15821721632528307,0.5704845934105061,0.0,6.79561512817336e-08,True,-1.0,0.14581466958590183,0.1706197630646643,0.5287822377208514,0.6121869491001607,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df1,KGB-DMOEA,0.15821721632528307,0.26382371952706946,11.0,3.415575693503718e-07,True,-0.945,0.14581466958590183,0.1706197630646643,0.23852888851594864,0.28911855053819024,2.3567472285175655e-05,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df1,MDDM-DMOEA,0.15821721632528307,0.4813022301994992,0.0,6.79561512817336e-08,True,-1.0,0.14581466958590183,0.1706197630646643,0.45264504278051765,0.5099594176184807,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df1,NSGA-II,0.15821721632528307,0.10321448998420595,391.0,2.562945863395653e-07,False,0.955,0.14581466958590183,0.1706197630646643,0.09665337132131863,0.10977560864709326,1.8196915630109134e-05,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df1,PPS-DMOEA,0.15821721632528307,0.5214389495891145,0.0,6.79561512817336e-08,True,-1.0,0.14581466958590183,0.1706197630646643,0.4854255686250941,0.5574523305531349,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df2,DNSGA-II-A,0.29689964656420076,0.14716707048256697,400.0,6.79561512817336e-08,False,1.0,0.27464108370386114,0.3191582094245404,0.1406258297043326,0.15370831126080134,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df2,DNSGA-II-B,0.29689964656420076,0.43368944116564806,10.0,2.959753733675675e-07,True,-0.95,0.27464108370386114,0.3191582094245404,0.41329238774570004,0.4540864945855961,2.0718276135729724e-05,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df2,KGB-DMOEA,0.29689964656420076,0.19034964121202996,394.0,1.657079293385879e-07,False,0.97,0.27464108370386114,0.3191582094245404,0.17923582255034287,0.20146345987371705,1.342234227642562e-05,162,dynamic_budget_162_comparisons
dynamic_budget,fast_t5_n10,df2,MDDM-DMOEA,0.29689964656420076,0.3291585482579745,121.0,0.033717668936863225,True,-0.395,0.27464108370386114,0.3191582094245404,0.3073894725668725,0.35092762394907656,0.6069180408635381,162,dynamic_budget_162_comparisons
