protocol,problem,algorithm,mean,std,ci95_low,ci95_high
fast_t5_n10,df1,FITO,0.11609302437548859,0.019565855023936356,0.10693592235036281,0.12525012640061436
fast_t5_n10,df1,FITO+BR,0.12439705258455724,0.02180472438018311,0.11419212744661589,0.1346019777224986
fast_t5_n10,df1,FITO+MB,0.2416459695739528,0.04449699017973517,0.22082073712751105,0.26247120202039453
fast_t5_n10,df1,FITO-noLS,0.1974602752821831,0.046392738433072206,0.17574780534223425,0.219172745222132
fast_t5_n10,df1,FITO-noPA,0.46479893371513636,0.06010379859932795,0.4366694900900895,0.49292837734018324
fast_t5_n10,df1,FITO-noPS,0.11609302437548859,0.019565855023936356,0.10693592235036281,0.12525012640061436
fast_t5_n10,df1,FITO-noRD,0.6119954108277331,0.07413637730746425,0.577298518208057,0.6466923034474092
fast_t5_n10,df2,FITO,0.2494147504210956,0.01888166622966294,0.24057785860840092,0.2582516422337904
fast_t5_n10,df2,FITO+BR,0.2606362096151754,0.027108156528420628,0.24794920182838842,0.2733232174019625
fast_t5_n10,df2,FITO+MB,0.33920640640765976,0.031706946210264035,0.3243670987976747,0.3540457140176448
fast_t5_n10,df2,FITO-noLS,0.2860217395414888,0.041114494930061335,0.2667795636015414,0.3052639154814363
fast_t5_n10,df2,FITO-noPA,0.43154033531933045,0.05237297896060723,0.40702902665863894,0.45605164398002196
fast_t5_n10,df2,FITO-noPS,0.2494147504210956,0.01888166622966294,0.24057785860840092,0.2582516422337904
fast_t5_n10,df2,FITO-noRD,0.5564508871389587,0.07229453834699663,0.5226160016870869,0.5902857725908304
fast_t5_n10,df3,FITO,0.538235306051266,0.10871888978203778,0.4873532993832929,0.5891173127192391
fast_t5_n10,df3,FITO+BR,0.5431460048052854,0.10761533502938994,0.4927804776598247,0.5935115319507461
fast_t5_n10,df3,FITO+MB,0.5758578801628003,0.06157827649281166,0.5470383596416554,0.6046774006839454
fast_t5_n10,df3,FITO-noLS,0.6774929397376076,0.06506552184707984,0.6470413381519442,0.707944541323271
fast_t5_n10,df3,FITO-noPA,0.5926363027670647,0.058367560422244516,0.5653194436218691,0.6199531619122602
fast_t5_n10,df3,FITO-noPS,0.538235306051266,0.10871888978203778,0.4873532993832929,0.5891173127192391
fast_t5_n10,df3,FITO-noRD,0.5999802689696487,0.06764919712394359,0.5683194701329021,0.6316410678063952
fast_t5_n10,df4,FITO,0.3232257213900907,0.04904302049942866,0.3002728812620106,0.3461785615181708
fast_t5_n10,df4,FITO+BR,0.3497396568104406,0.057661002267661195,0.3227534770605635,0.3767258365603177
fast_t5_n10,df4,FITO+MB,0.3229320152735193,0.04761969232543549,0.3006453132359314,0.34521871731110715
fast_t5_n10,df4,FITO-noLS,0.5946029662469635,0.0806885213417578,0.5568395758262997,0.6323663566676273
fast_t5_n10,df4,FITO-noPA,0.32334563666401955,0.048642551057110316,0.3005802220042755,0.34611105132376374
fast_t5_n10,df4,FITO-noPS,0.3232257213900907,0.04904302049942866,0.3002728812620106,0.3461785615181708
fast_t5_n10,df4,FITO-noRD,0.3244163274447549,0.04758601075958749,0.30214538886521464,0.34668726602429517
fast_t5_n10,df5,FITO,0.0671413528451699,0.0075934446924838,0.06358751133473459,0.07069519435560517
fast_t5_n10,df5,FITO+BR,0.07327486095406463,0.009149395237765872,0.06899281217276039,0.07755690973536887
fast_t5_n10,df5,FITO+MB,0.09026873227850472,0.013158928509624504,0.08411016416295065,0.09642730039405879
fast_t5_n10,df5,FITO-noLS,0.16333145363537224,0.022437956896237857,0.15283016655730378,0.17383274071344076
fast_t5_n10,df5,FITO-noPA,0.14334208982467908,0.01521695009146869,0.13622033796009886,0.15046384168925936
fast_t5_n10,df5,FITO-noPS,0.0671413528451699,0.0075934446924838,0.06358751133473459,0.07069519435560517
fast_t5_n10,df5,FITO-noRD,0.19857933882107764,0.024306914526684348,0.18720335264697174,0.20995532499518355
fast_t5_n10,df6,FITO,5.091974554532353,0.5948629968394324,4.8135701021653725,5.370379006899335
fast_t5_n10,df6,FITO+BR,5.4536749799888025,0.6326741431725372,5.157574366414677,5.749775593562928
fast_t5_n10,df6,FITO+MB,5.356710210495455,0.5662229345140096,5.091709719897536,5.621710701093375
fast_t5_n10,df6,FITO-noLS,9.033475607050944,1.1136290319732258,8.512281176680006,9.554670037421882
fast_t5_n10,df6,FITO-noPA,6.072141846324839,0.8817243654713365,5.659482140792791,6.4848015518568864
fast_t5_n10,df6,FITO-noPS,5.091974554532353,0.5948629968394324,4.8135701021653725,5.370379006899335
fast_t5_n10,df6,FITO-noRD,7.153021030276233,0.8057652182324203,6.775911299951369,7.5301307606010965
fast_t5_n10,df7,FITO,0.2372061322514052,0.07020051633933977,0.20435127926647728,0.2700609852363332
fast_t5_n10,df7,FITO+BR,0.2283514427130477,0.06652428307311938,0.19721711985807103,0.2594857655680244
fast_t5_n10,df7,FITO+MB,0.24612655845794218,0.07614281999106391,0.21049062175668568,0.2817624951591988
fast_t5_n10,df7,FITO-noLS,0.26236097684537973,0.05537544992239718,0.23644446851971304,0.28827748517104645
fast_t5_n10,df7,FITO-noPA,0.2434213635277916,0.07406367723923257,0.2087584955873956,0.2780842314681875
fast_t5_n10,df7,FITO-noPS,0.2372061322514052,0.07020051633933977,0.20435127926647728,0.2700609852363332
fast_t5_n10,df7,FITO-noRD,0.2651436104038558,0.07934083904114031,0.2280109547151582,0.30227626609255354
fast_t5_n10,df8,FITO,0.08254646486275025,0.004892146764509378,0.08025686969863924,0.08483606002686123
fast_t5_n10,df8,FITO+BR,0.08313563119937287,0.005262139586409913,0.08067287406434048,0.08559838833440528
fast_t5_n10,df8,FITO+MB,0.08143722807690575,0.004721240596935131,0.07922761946136554,0.08364683669244598
