algorithm,mean,std
FITO,0.0009867282451321668,0.00012558093298180902
DNSGA-II-A,0.0010617130957914168,5.650350438884651e-05
DNSGA-II-B,0.0011696409433014393,0.00011750137017862099
NSGA-II,0.0012180544766182716,9.605666078639292e-05
KGB-DMOEA,0.0012970039407287919,5.087685265736106e-05
