algorithm,mean,std
FITO,0.44363952734107215,0.039302748271652546
DNSGA-II-A,0.4148592905533583,0.016930498654165835
DNSGA-II-B,0.3840875634573938,0.0318760883409147
NSGA-II,0.37599917643849723,0.023590411676544663
KGB-DMOEA,0.3482479436724446,0.011227202172631623
